"","Compound name","Floxed-ND1","Floxed-ND2","Floxed-ND3","Floxed-ND4","Floxed-HF1","Floxed-HF2","Floxed-HF3","Floxed-HF4","cKO-ND1","cKO-ND2","cKO-ND3","cKO-ND4","cKO-HF1","cKO-HF2","cKO-HF3","cKO-HF4"
"61","2-Oxoglutaric acid",0.000467178651079138,0.000755357047619046,0.000167377508896797,0.000400020700757575,0.00152737726465364,0.000545306416510318,0.000633204584980238,0.00054784244140625,0.00024189731884058,0.000314262480916031,0.000345928742857142,0.000406651938405797,0.000238670135135135,0.0012792130651341,0.000339748122529645,0.00162219476190476
"62","2-Oxoisovaleric acid",0.000261758021582734,0.00024708739047619,0.000121281423487544,7.76044318181816e-05,0.00023840298401421,0.000138499606003752,0.000162049624505929,0.0001724732421875,0.0001359325,5.03768511450383e-05,0.000120151542857143,7.1089402173913e-05,0.000119774768339768,0.000265364348659004,0.000138072371541502,0.000217069583333333
"63","2-Phenylethylamine",1.74701618705036e-05,2.22044604925031e-16,8.53334163701067e-05,0.00023113221590909,0.00112174701598579,0.000752013808630392,2.22044604925031e-16,2.22044604925031e-16,0.000664894257246377,0.000928998912213743,0.000287088761904761,0.000139384347826087,0.00304689756756757,0.000955740862068967,0.00450157790513835,0.00045392859126984
"64","2-Phosphoglyceric acid",2.22044604925031e-16,2.22044604925031e-16,1.69052846975089e-05,9.93872159090907e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,8.19799094202898e-05,0.000259530286259543,8.16454476190474e-05,0.000111138460144927,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"65","20α-Hydroxycholesterol",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.000196027918287937,0.00034899854368932,0.000200313604240283,2.22044604925031e-16
"66","22-Hydroxycholesterol-1",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,4.76822568807339e-05,8.16185251798563e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,7.70347572815532e-05,5.83002296819788e-05,2.22044604925031e-16
"67","22-Hydroxycholesterol-2",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.00036753023853211,0.000338747320143885,0.000304388436911487,0.000274914074733096,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.000392516692607003,0.000476911106796116,0.000355838392226148,0.000264950494071147
"68","3,4-Dihydroxyhydrocinnamic acid",0.000390289622302159,0.000168871523809523,0.000283633042704626,8.96544886363634e-05,0.00132979392539965,0.00101248885553471,0.000613654841897234,0.00097469619140625,0.000607815507246377,3.27134923664123e-05,0.000147763219047619,6.4461231884058e-05,0.000364835231660232,0.000594621724137932,0.000328458517786562,0.000548625773809523
"69","3-(4-Hydroxyphenyl)propionic acid
2-(4-Hydroxyphenyl)propionic acid
3-(3-Hydroxyphenyl)propionic acid",0.00304523638489209,0.00284913975238095,0.0021918990391459,0.000706215738636362,0.00019529296625222,0.000586632495309567,0.000273408280632411,0.0001585490234375,0.00438163996376811,0.00029258253816794,0.00050684038095238,0.000946940742753623,0.000346836776061776,0.000440055785440614,0.000731492015810278,0.000180361587301587
"70","3-Amino-2-piperidone",2.93776978417267e-05,2.45809904761904e-05,3.01186476868327e-05,3.16324053030302e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.03510507246377e-05,2.56083778625955e-05,2.44845714285714e-05,2.12039855072464e-05,1.67659266409266e-05,2.6293582375479e-05,2.22044604925031e-16,2.22044604925031e-16
"71","3-Aminobutyric acid",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.000138653181818182,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.00018606143129771,9.53897904761902e-05,7.70467753623188e-05,2.22044604925031e-16,5.51908620689656e-05,2.22044604925031e-16,2.22044604925031e-16
